profile,controller_mode,seed,duration_s,steps,rms_altitude_error_m,rms_airspeed_error_mps,rms_reference_error_m,mean_reference_error_m,max_reference_error_m,control_energy_integral,saturation_time_fraction,min_airspeed_after_10s_mps,max_abs_roll_rad,max_abs_pitch_rad,max_abs_load_factor_nz,mean_abs_load_factor_nz,safety_time_fraction,safety_violations,q_episode_return,q_table_size,q_updates,finite,scenario_name,scenario_description,target_altitude_m,circle_diameter_m,circle_airspeed_mps,circle_direction,steady_wind_n,steady_wind_e,steady_wind_d,gust_body_u,gust_body_v,gust_body_w,turbulence_std,residual_active_fraction,mean_hard_condition_score,mean_hjb_value,mean_hjb_advantage,mean_hjb_stage_cost,shield_active_fraction,mean_candidate_count
loiter_orbit,sharq_hjb,4101,45.0,4500,47.06728482889504,12.466223665696187,0.77274585478518,0.7479280335585148,1.0003047788824417,5.302997561089492,0.0,41.54674625921198,1.022010080216422,0.31277391648089126,6.512437050996202,1.0425499430242424,0.0,0,-2156.515942574872,11,4500,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.9804444444444445,2.1985536613517835,1.752523673258192,-0.11749182207231429,1.767763673258192,0.09977777777777778,2.9002222222222223
high_speed_climb_s_turn_200,sharq_hjb,4102,45.0,4500,56.837075518817215,14.72947834826953,149.94735350216212,96.60974957768731,479.05543841593817,3.4263327423280225,0.0,35.607184477135,1.1727336391360401,0.2966338805190554,6.314773847552459,1.0050728576006396,0.0,0,-5951.134106000087,39,4500,True,tight_orbit_tailwind_gust,Tighter orbit and tailwind/gust stress after climb-out.,210.0,160.0,34.0,1,10.0,0.0,0.0,0.0,4.0,0.0,1.4,0.8208888888888889,3.358993301575106,2.0130742219473747,-0.11574610177099819,2.0274742219473745,0.09733333333333333,3.0155555555555558
racetrack,sharq_hjb,4103,50.0,5000,66.82513348990419,15.148148548340135,0.670347417236761,0.6286444250967921,0.9680353623699641,6.289920285237106,0.0,48.2667789473183,1.0111987436108927,0.2979986861055436,5.516104544078715,1.0175067817339543,0.0,0,-3431.088781167281,11,5000,True,wide_orbit_headwind_energy,Wide faster orbit under strong headwind to stress total-energy recovery.,240.0,320.0,45.0,1,-10.0,0.0,0.0,-3.5,0.0,0.0,1.5,0.984,1.978756004469459,2.7346205286751983,-0.1300560889692282,2.778801528675198,0.1198,2.8802
figure_eight,sharq_hjb,4104,45.0,4500,57.2295054556447,14.304249632220365,0.7916056236902199,0.7700864760994626,1.0130668112439598,5.393679155575801,0.0,47.643167666131745,1.0356924065086885,0.31000822631560393,6.870306458508903,1.0487726158931057,0.0,0,-2945.6029564974333,11,4500,True,reverse_orbit_shear,Reverse-turn orbit with vertical wind component and lateral shear proxy.,200.0,220.0,32.0,-1,0.0,-10.0,3.0,0.0,-4.0,0.0,1.2,0.9817777777777777,1.796905410557003,2.541817359893087,-0.13606993057762234,2.585817359893087,0.13244444444444445,2.8675555555555556
straight_climb_altitude_hold,sharq_hjb,4105,55.0,5500,88.9149632302912,18.126219042274204,0.6493164982490538,0.6321174529678868,0.879427132854935,7.503630591526562,0.0,53.67745266527995,0.7542860837793867,0.29562087975924506,6.3472904743924,1.0104899516082841,0.0,0,-4936.48942886096,11,5500,True,high_altitude_headwind_climb,Higher target altitude and headwind during climb/straight/orbit transition.,300.0,260.0,40.0,1,-8.0,0.0,0.0,-4.0,0.0,2.5,1.8,0.9816363636363636,2.498310357539715,3.4834266171279675,-0.13976101437459482,3.527493889855241,0.112,2.888
takeoff_climbout_200,sharq_hjb,4106,45.0,4500,49.18914635080572,15.023779442488921,0.6920000159291972,0.6707205509043006,0.8954007822726271,5.297516413860798,0.0,47.25403521936746,0.11739242726186254,0.29672875351801503,7.515820344621217,1.1050244113743153,0.0013333333333333333,6,-3165.2264271872637,12,4500,True,low_alt_vertical_gust_recovery,Lower-altitude reference with maximum vertical gust and turbulence.,140.0,180.0,28.0,1,0.0,0.0,0.0,-2.0,0.0,4.0,2.0,0.2931111111111111,2.231963027689208,2.2996992292106992,-0.19442835840041142,2.3128892292107,0.18555555555555556,2.5755555555555554
runway_takeoff_accel_200,sharq_hjb,4107,50.0,5000,66.81997751778,15.322342645107735,0.8587460944089543,0.8394177942563056,1.1100477296273055,6.23686257673905,0.0,45.51841247856482,1.120560408146334,0.30173830878455715,6.607540354087756,1.0389263646817544,0.0,0,-3054.456902470558,11,5000,True,fast_circle_mixed_crosswind,Fast 300 m circle with diagonal wind and gust coupling.,250.0,300.0,55.0,1,8.0,-8.0,0.0,3.0,-3.0,0.0,1.6,0.9812,2.061485449643532,2.39535941237438,-0.10821623044668847,2.4189934123743795,0.0896,2.91
loiter_orbit,sharq_hjb,4108,45.0,4500,59.954080430134695,14.991810186884717,0.758757200200621,0.735543205126093,1.0059429430924347,5.539039040637775,0.0,48.4133299513174,0.8224173829886774,0.29970011407689545,6.809738097804735,1.258276202911652,0.00022222222222222223,1,-3509.8434556344873,11,4500,True,small_radius_crosswind_orbit,Small-radius orbit under lateral gusts; intentionally lateral-error dominated.,200.0,140.0,32.0,-1,0.0,10.0,0.0,0.0,-4.0,0.0,1.9,0.878,2.2220762479964598,2.805851380699802,-0.18455738428524085,2.8432013806998024,0.1708888888888889,2.828888888888889
fight_mode,sharq_hjb,4109,55.0,5500,68.5765385088433,15.422934995360226,0.6725231011620821,0.6525646732519854,0.8497417866366598,7.356221078433205,0.0,50.499301507773005,0.6722679813324869,0.29752304252293726,5.8409301008488965,1.0795359107006977,0.0,0,-4219.794492276718,11,5500,True,fight_vertical_gust,Cinematic fight-mode S-turn with vertical gusts and headwind.,240.0,480.0,112.0,1,-9.0,0.0,0.0,0.0,0.0,4.0,1.6,0.976909090909091,2.078945159874369,2.820771384135746,-0.14464440151198873,2.86461774777211,0.12781818181818183,2.872181818181818
fight_mode,sharq_hjb,4110,55.0,5500,69.11666751967138,15.739868281693868,57.40890346335137,23.521958671819043,172.50869130901987,8.953879926804829,0.0,51.241217307207,0.8270924972142418,0.2984417893013827,8.0,1.2327325175992754,0.015272727272727273,84,-5480.276060553006,25,5500,True,fight_crosswind_turbulence,Fight-mode S-turn with maximum crosswind/turbulence and mixed gusts.,240.0,480.0,112.0,1,0.0,-10.0,0.0,-3.0,4.0,0.0,2.0,0.9385454545454546,2.4255506781223337,2.835317382663756,-0.15887681918677884,2.8709328372092116,0.13545454545454547,2.864
